,0
650,5651
651,11344
652,4441
653,7446
654,4307
655,2467
656,6733
657,1361
658,2062
659,6444
660,5005
661,12770
662,10887
663,11961
664,9585
665,990
666,1363
667,1365
668,2301
669,10432
670,7110
671,159
672,10430
673,3985
674,1367
675,10578
676,1369
677,6857
678,7286
679,2895
680,3587
681,9589
682,11968
683,2319
684,7525
685,5941
686,7450
687,4397
688,13363
689,2307
690,6321
691,12055
692,5777
693,12042
694,7913
695,10846
696,5982
697,3572
698,13666
699,8491
700,4968
701,11714
702,4425
703,13067
704,10268
705,10615
706,13414
707,1371
708,1373
709,4686
710,964
711,1375
712,2312
713,13615
714,1095
715,6374
716,773
717,1377
718,1379
719,707
720,5196
721,4883
722,2305
723,6001
724,8284
725,11198
726,11592
727,11880
728,2458
729,262
730,1381
731,5203
732,1384
733,1386
734,1388
735,11973
736,7907
737,6491
738,1164
739,8791
740,2076
741,3974
742,1390
743,1392
744,2239
745,7811
746,7943
747,1394
748,6804
749,11038
750,13297
751,13376
752,13561
753,10842
754,1396
755,1398
756,8081
757,757
758,2732
759,6228
760,8334
761,2303
762,3739
763,3231
764,349
765,7125
766,13560
767,7554
768,465
769,12687
770,12704
771,4351
772,3906
773,6986
774,4620
775,12384
776,472
777,2229
778,6617
779,5181
780,5508
781,2828
782,12648
783,431
784,8014
785,9989
786,5089
787,11890
788,9177
789,999
790,3660
791,176
792,544
793,9364
794,2216
795,8601
796,8404
797,5228
798,1400
799,1402
800,3754
801,1405
802,8806
803,11028
804,13200
805,12792
806,7411
807,13761
808,10806
809,10939
810,5025
811,8266
812,3967
813,7937
814,10167
815,3884
816,6577
817,1407
818,12117
819,8407
820,755
821,4630
822,6780
823,1409
824,1411
825,1413
826,768
827,4519
828,1415
829,242
830,8815
831,1417
832,1419
833,5211
834,4852
835,1421
836,7835
837,1423
838,155
839,3176
840,9948
841,8781
842,1425
843,6749
844,973
845,264
846,6509
847,10723
848,2757
849,8078
850,13026
851,3591
852,6248
853,1427
854,5441
855,4903
856,11640
857,1428
858,11518
859,5243
860,2221
861,8411
862,10099
863,12571
864,13740
865,11613
866,8335
867,9634
868,9309
869,7623
870,9084
871,8652
872,4602
873,13002
874,12027
875,6146
876,8750
877,4738
878,9130
879,5818
880,7816
881,1139
882,11635
883,10871
884,6730
885,2929
886,937
887,4387
888,2231
889,11734
890,4502
891,4984
892,4661
893,9345
894,13400
895,10904
896,13482
897,7321
898,4657
899,1430
900,6036
901,12070
902,10851
903,13704
904,10660
905,1434
906,9107
907,7686
908,5270
909,11155
910,1435
911,1437
912,1439
913,5091
914,12231
915,8414
916,9862
917,5870
918,3830
919,1443
920,2908
921,6223
922,1441
923,722
924,2214
925,11791
926,4282
927,616
928,5641
929,1445
930,13838
931,1447
932,10732
933,729
934,8098
935,1136
936,6400
937,900
938,1449
939,6877
940,10947
941,9297
942,8294
943,7037
944,3323
945,5517
946,1451
947,7529
948,1453
949,1455
950,2735
951,9326
952,13392
953,7486
954,11807
955,11374
956,12695
957,13545
958,10833
959,4004
960,1457
961,1459
962,340
963,1461
964,6044
965,7373
966,1464
967,5362
968,12349
969,5433
970,4806
971,2223
972,10855
973,2271
974,2290
975,7211
976,1468
977,5446
978,1470
979,984
980,4894
981,920
982,668
983,3540
984,10741
985,13274
986,6277
987,12261
988,11466
989,10001
990,11797
991,13366
992,6775
993,6951
994,3613
995,5291
996,6493
997,5184
998,13898
999,13281
1000,12332
1001,5903
1002,5460
1003,9455
1004,10315
1005,4773
1006,11575
1007,4622
1008,2750
1009,9103
1010,11249
1011,10230
1012,6641
1013,12270
1014,11116
1015,12160
1016,9513
1017,13216
1018,941
1019,7230
1020,13250
1021,4070
1022,7622
1023,11066
1024,4678
1025,10248
1026,13015
1027,8002
1028,5535
1029,635
1030,10410
1031,4644
1032,6341
1033,9135
1034,10699
1035,6129
1036,10864
1037,15
1038,11859
1039,11295
1040,4363
1041,4641
1042,6520
1043,7168
1044,11882
1045,3632
1046,8746
1047,12455
1048,7244
1049,5547
1050,11847
1051,8399
1052,5085
1053,627
1054,13582
1055,4583
1056,4183
1057,11114
1058,720
1059,485
1060,5029
1061,5884
1062,1484
1063,6507
1064,8033
1065,12613
1066,6153
1067,5688
1068,5256
1069,10937
1070,3246
1071,5177
1072,10649
1073,7355
1074,13953
1075,14021
1076,3642
1077,1472
1078,833
1079,4402
1080,9151
1081,4430
1082,8860
1083,4850
1084,9152
1085,10056
1086,161
1087,2502
1088,8111
1089,10717
1090,11728
1091,7002
1092,4434
1093,9392
1094,10515
1095,949
1096,3875
1097,428
1098,10143
1099,4133
1100,290
1101,12708
1102,5387
1103,6661
1104,13996
1105,7055
1106,10750
1107,30
1108,1474
1109,12299
